Trial,Mean_Wave,Range_Wave,Tad_ID,Mass,Stage,Condition,Predator,Exploration,Cons_g,Spider_mm,White,Black,Rest,Swim,Pivot,Zone_1,Zone_2,Zone_3,rMean_OG,gMean_OG,bMean_OG
1,0.83040156,0.322723,LAS-002,0.02,25,Background,NA,NA,0.08,10,6,54,49,11,NA,NA,NA,NA,8.294266804,6.61906422,5.041497686
1,0.83040156,0.322723,LAS-002,0.02,25,Black,Control,2,0.08,10,NA,NA,53,7,NA,32,9,9,8.294266804,6.61906422,5.041497686
1,0.83040156,0.322723,LAS-002,0.02,25,Black,Conspecific,6,0.08,10,NA,NA,36,14,NA,1,4,55,8.294266804,6.61906422,5.041497686
1,0.83040156,0.322723,LAS-002,0.02,25,Black,Spider,2,0.08,10,NA,NA,56,4,NA,0,20,30,8.294266804,6.61906422,5.041497686
1,0.83040156,0.322723,LAS-002,0.02,25,White,Control,1,0.08,10,NA,NA,55,5,NA,0,60,0,8.294266804,6.61906422,5.041497686
1,0.83040156,0.322723,LAS-002,0.02,25,White,Conspecific,1,0.08,10,NA,NA,59,1,NA,0,53,7,8.294266804,6.61906422,5.041497686
1,0.83040156,0.322723,LAS-002,0.02,25,White,Spider,0,0.08,10,NA,NA,60,0,NA,0,0,60,8.294266804,6.61906422,5.041497686
2,0.68026433,0.330704,LAS-001,0.05,27,Background,NA,NA,0.08,10,26,34,30,20,NA,NA,NA,NA,9.459306307,7.59097762,5.936368668
2,0.68026433,0.330704,LAS-001,0.05,27,Black,Control,1,0.08,10,NA,NA,59,1,NA,0,15,45,9.459306307,7.59097762,5.936368668
2,0.68026433,0.330704,LAS-001,0.05,27,Black,Conspecific,0,0.08,10,NA,NA,60,0,NA,60,0,0,9.459306307,7.59097762,5.936368668
2,0.68026433,0.330704,LAS-001,0.05,27,Black,Spider,1,0.08,10,NA,NA,51,9,NA,1,0,59,9.459306307,7.59097762,5.936368668
2,0.68026433,0.330704,LAS-001,0.05,27,White,Control,0,0.08,10,NA,NA,39,21,NA,0,0,60,9.459306307,7.59097762,5.936368668
2,0.68026433,0.330704,LAS-001,0.05,27,White,Conspecific,0,0.08,10,NA,NA,60,0,NA,60,0,0,9.459306307,7.59097762,5.936368668
2,0.68026433,0.330704,LAS-001,0.05,27,White,Spider,2,0.08,10,NA,NA,54,6,NA,21,39,0,9.459306307,7.59097762,5.936368668
3,0.64151458,0.560714,LAS-005,0.1,35,Background,NA,NA,0.08,12,18,42,52,8,NA,NA,NA,NA,15.05369975,11.21912334,7.077092968
3,0.64151458,0.560714,LAS-005,0.1,35,Black,Control,1,0.08,12,NA,NA,54,6,NA,0,3,57,15.05369975,11.21912334,7.077092968
3,0.64151458,0.560714,LAS-005,0.1,35,Black,Conspecific,1,0.08,12,NA,NA,59,1,NA,6,0,54,15.05369975,11.21912334,7.077092968
3,0.64151458,0.560714,LAS-005,0.1,35,Black,Spider,2,0.08,12,NA,NA,54,6,NA,1,0,59,15.05369975,11.21912334,7.077092968
3,0.64151458,0.560714,LAS-005,0.1,35,White,Control,0,0.08,12,NA,NA,55,5,NA,0,0,60,15.05369975,11.21912334,7.077092968
3,0.64151458,0.560714,LAS-005,0.1,35,White,Conspecific,6,0.08,12,NA,NA,53,7,NA,5,0,55,15.05369975,11.21912334,7.077092968
3,0.64151458,0.560714,LAS-005,0.1,35,White,Spider,1,0.08,12,NA,NA,59,1,NA,1,0,59,15.05369975,11.21912334,7.077092968
4,0.22322644,0.350037,LAS-006,0.07,28,Background,NA,NA,0.1,13,5,55,48,12,NA,NA,NA,NA,44.12400627,41.82901465,39.85081935
4,0.22322644,0.350037,LAS-006,0.07,28,Black,Control,0,0.1,13,NA,NA,60,0,NA,0,60,0,44.12400627,41.82901465,39.85081935
4,0.22322644,0.350037,LAS-006,0.07,28,Black,Conspecific,0,0.1,13,NA,NA,60,0,NA,60,0,0,44.12400627,41.82901465,39.85081935
4,0.22322644,0.350037,LAS-006,0.07,28,Black,Spider,0,0.1,13,NA,NA,60,0,NA,0,60,0,44.12400627,41.82901465,39.85081935
4,0.22322644,0.350037,LAS-006,0.07,28,White,Control,1,0.1,13,NA,NA,55,5,NA,0,1,59,44.12400627,41.82901465,39.85081935
4,0.22322644,0.350037,LAS-006,0.07,28,White,Conspecific,4,0.1,13,NA,NA,51,9,NA,0,4,56,44.12400627,41.82901465,39.85081935
4,0.22322644,0.350037,LAS-006,0.07,28,White,Spider,2,0.1,13,NA,NA,57,3,NA,0,1,59,44.12400627,41.82901465,39.85081935
5,0.20441814,0.252625,LAS-007,0.124,41,Background,NA,NA,0.07,13,2,58,35,25,NA,NA,NA,NA,36.63177688,32.45020697,28.74649866
5,0.20441814,0.252625,LAS-007,0.124,41,Black,Control,1,0.07,13,NA,NA,54,0,6,22,38,0,36.63177688,32.45020697,28.74649866
5,0.20441814,0.252625,LAS-007,0.124,41,Black,Conspecific,1,0.07,13,NA,NA,47,1,12,22,38,0,36.63177688,32.45020697,28.74649866
5,0.20441814,0.252625,LAS-007,0.124,41,Black,Spider,3,0.07,13,NA,NA,55,0,5,57,3,0,36.63177688,32.45020697,28.74649866
5,0.20441814,0.252625,LAS-007,0.124,41,White,Control,1,0.07,13,NA,NA,60,0,NA,7,53,0,36.63177688,32.45020697,28.74649866
